# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
111.7121232; 89637.7549959; 43138.9430150; -2.2542086; 0.0680330; 7.9179080; -4.4582287
112.7095528; 89638.5591685; 43138.3357339; -2.1781364; 0.0850728; 7.3348298; -4.1173723
113.7069825; 89639.3759215; 43137.8216447; -2.0816281; 0.1188594; 6.7517516; -1.3687703
114.7044122; 89640.3539217; 43137.3612450; -1.9323991; 0.1609708; 6.5464223; -1.3112691
115.7018418; 89641.2925799; 43137.0978322; -1.7455464; 0.2277312; 6.3434886; -1.2690090
116.6992715; 89642.2233143; 43137.0467438; -1.4946791; 0.2908601; 6.1407128; -1.2262219
117.6967012; 89643.1753186; 43137.2507261; -1.2367055; 0.2197463; 5.9381995; -1.0280327
118.6941309; 89644.0981445; 43137.6689302; -1.0726769; 0.1170989; 5.7629361; -0.0820963
119.6915605; 89644.9522747; 43138.2001141; -0.9551281; 0.1232359; 5.7487096; -0.0818934
120.6889902; 89645.7291235; 43138.8332099; -0.8102545; 0.1756834; 5.7344831; 0.3779002
121.6864199; 89646.3650763; 43139.5764734; -0.5890806; 0.2705365; 5.7998408; 0.5910710
122.6838495; 89646.7900947; 43140.4503859; -0.3175000; 0.2634383; 5.9006150; 1.4703176
123.6812792; 89646.9869481; 43141.4098759; -0.1032498; 0.1680936; 6.1441300; 2.8526373
124.6787089; 89647.0192057; 43142.3709141; 0.0271741; 0.1113215; 6.5909744; 3.0528218
125.6761386; 89646.9363878; 43143.4077482; 0.1279367; 0.0862152; 7.0378189; 2.8351471
126.6735682; 89646.7615527; 43144.4239059; 0.2110601; 0.0755889; 7.4287693; 2.5910957
127.6709979; 89646.5167289; 43145.3926558; 0.2828782; 0.0687453; 7.7688793; 2.7070686
128.6684276; 89646.2051870; 43146.3436478; 0.3497144; 0.0653568; 8.1089893; 2.7263924
129.6658572; 89645.8318028; 43147.2725231; 0.4142004; 0.0616379; 8.4376819; 2.6556282
130.6632869; 89645.4009589; 43148.1795044; 0.4709878; 0.0511445; 8.7459751; 2.7509178
131.6607166; 89644.9298378; 43149.0533571; 0.5159637; 0.0392555; 9.0542683; 2.6656931
132.6581463; 89644.4263519; 43149.9061110; 0.5488769; 0.0287110; 9.3433109; 2.2813004
133.6555759; 89643.8938949; 43150.7510393; 0.5748363; 0.0231988; 9.5837535; 2.3392621
134.6530056; 89643.3435510; 43151.5811756; 0.5950508; 0.0173489; 9.8241962; 1.7470774
135.6504353; 89642.7790649; 43152.4015346; 0.6093237; 0.0112360; 10.0000002; -0.0000001
136.6478649; 89642.2048880; 43153.2163277; 0.6173566; 0.0048939; 10.0000002; -0.0000001
137.6452946; 89641.6261029; 43154.0292011; 0.6190966; -0.0014009; 10.0000002; -0.0000000
138.6427243; 89641.0483230; 43154.8430517; 0.6146742; -0.0067996; 10.0000002; 0.0000000
139.6401539; 89640.4762494; 43155.6601311; 0.6065114; -0.0095680; 10.0000002; 0.0000000
140.6375836; 89639.9120285; 43156.4825899; 0.5955881; -0.0123350; 10.0000002; 0.0000000
141.6350133; 89639.3580226; 43157.3118261; 0.5820435; -0.0139384; 10.0000002; 0.0000000
142.6324430; 89638.8154454; 43158.1482238; 0.5692589; -0.0117074; 10.0000002; 0.0000000
143.6298726; 89638.2823899; 43158.9913413; 0.5586948; -0.0094741; 10.0000002; 0.0000000
144.6273023; 89637.7572080; 43159.8396440; 0.5504093; -0.0067263; 10.0000002; 0.0000000
145.6247320; 89637.2380685; 43160.6905102; 0.5460384; -0.0020479; 10.0000002; 0.0000000
146.6221616; 89636.7202243; 43161.5431658; 0.5463213; 0.0026109; 10.0000002; 0.0000000
147.6195913; 89636.1999626; 43162.3947943; 0.5512594; 0.0074379; 10.0000002; 0.0000000
148.6170210; 89635.6740416; 43163.2413313; 0.5614931; 0.0130943; 10.0000002; 0.0000000
149.6144507; 89635.1366233; 43164.0816987; 0.5773650; 0.0187211; 10.0000002; 0.0000000
150.6118803; 89634.5833789; 43164.9122269; 0.5988122; 0.0239993; 10.0000002; -0.0000000
151.6093100; 89634.0121563; 43165.7272064; 0.6244275; 0.0274619; 10.0000002; -0.0000000
152.6067397; 89633.4175581; 43166.5280044; 0.6535090; 0.0308289; 10.0000002; -0.0000000
153.6041693; 89632.7973107; 43167.3117647; 0.6859130; 0.0333037; 10.0000002; 0.0000000
154.6015990; 89632.1556981; 43168.0709660; 0.7165822; 0.0284297; 10.0000002; 0.0000000
155.5990287; 89631.4903291; 43168.8145026; 0.7425811; 0.0237121; 10.0000002; 0.0000000
156.5964584; 89630.8052538; 43169.5444721; 0.7640231; 0.0192175; 10.0000002; -0.0000003
157.5938880; 89630.0947649; 43170.2706622; 0.7856590; 0.0236153; 10.0000002; -0.0000003
158.5913177; 89629.3764920; 43170.9704416; 0.8122506; 0.0298100; 10.0000001; -0.0000003
159.5887474; 89628.6585784; 43171.6295303; 0.8453973; 0.0388640; 10.0000001; -0.0000006
160.5861770; 89627.8956992; 43172.2762313; 0.8926413; 0.0552260; 10.0000001; -0.0000006
161.5836067; 89627.1096536; 43172.8724223; 0.9528101; 0.0652358; 10.0000000; -0.3101258
162.5810364; 89626.2764282; 43173.4242337; 1.0186536; 0.0608030; 9.9690191; -2.3943536
163.5784661; 89625.4266913; 43173.9200659; 1.0610316; 0.0271536; 9.7265073; -2.3353900
164.5758957; 89624.5433729; 43174.4036030; 1.0742562; -0.0003687; 9.4839954; -2.6267347
165.5733254; 89623.6575205; 43174.8890066; 1.0601445; -0.0279952; 9.2035973; -5.7972382
166.5707551; 89622.7715870; 43175.4082995; 1.0156637; -0.0597921; 8.5522820; -5.3719335
167.5681847; 89621.9468446; 43175.9615723; 0.9377154; -0.0986920; 7.9009668; -4.2945845
